gcf1,gcf2,count,jaccard_index,distance,weight
GCF_59519ea481,GCF_87f71cd7de,34,0.89473684,0.10526316000000002,0.89473684
GCF_59519ea481,GCF_9cff6a0632,34,0.89473684,0.10526316000000002,0.89473684
GCF_02e96ab728,GCF_5c92ccc854,25,0.89285714,0.10714285999999995,0.89285714
GCF_0df2f492b5,GCF_7abc286571,25,0.89285714,0.10714285999999995,0.89285714
GCF_28c63b93ea,GCF_37a8d228c8,25,0.89285714,0.10714285999999995,0.89285714
GCF_4950908ef7,GCF_596653749a,50,0.89285714,0.10714285999999995,0.89285714
GCF_7abc286571,GCF_cea89f0dcf,25,0.89285714,0.10714285999999995,0.89285714
GCF_4cbf727851,GCF_fd3a43eee5,33,0.89189189,0.10810810999999998,0.89189189
GCF_82ce0cfb63,GCF_9e1358ce30,66,0.89189189,0.10810810999999998,0.89189189
GCF_010c87646d,GCF_75730455ff,24,0.88888889,0.11111110999999996,0.88888889
GCF_028c0bb382,GCF_27119445a7,48,0.88888889,0.11111110999999996,0.88888889
GCF_028c0bb382,GCF_8c1b2c8d09,48,0.88888889,0.11111110999999996,0.88888889
GCF_21a12fa2b8,GCF_57ee8659d0,24,0.88888889,0.11111110999999996,0.88888889
GCF_51f748af43,GCF_c6a52d4832,24,0.88888889,0.11111110999999996,0.88888889
GCF_028c0bb382,GCF_924958cd26,47,0.88679245,0.11320755000000005,0.88679245
GCF_028c0bb382,GCF_a4e71c1718,47,0.88679245,0.11320755000000005,0.88679245
GCF_596653749a,GCF_864906b4f8,47,0.88679245,0.11320755000000005,0.88679245
GCF_88612a0655,GCF_b00d8c0e95,47,0.88679245,0.11320755000000005,0.88679245
GCF_25f6515088,GCF_7f89e9d468,78,0.88636364,0.11363635999999999,0.88636364
GCF_09288bcfbf,GCF_791813b451,31,0.88571429,0.11428570999999998,0.88571429
GCF_4cbf727851,GCF_dff1315438,31,0.88571429,0.11428570999999998,0.88571429
GCF_7c257cbbbe,GCF_80bc79015c,23,0.88461538,0.11538462000000005,0.88461538
GCF_866961838b,GCF_a4e71c1718,46,0.88461538,0.11538462000000005,0.88461538
GCF_31c6a3002f,GCF_661868c5fd,38,0.88372093,0.11627907000000004,0.88372093
GCF_1d1bb8257a,GCF_ff1459e725,68,0.88311688,0.11688312000000001,0.88311688
GCF_5f605bcd44,GCF_d7eee6221c,30,0.88235294,0.11764706000000003,0.88235294
GCF_115f42156c,GCF_5abddb4b3f,66,0.88,0.12,0.88
GCF_2067e81dd3,GCF_b5135d57ee,44,0.88,0.12,0.88
GCF_24b43fc7eb,GCF_39534b30a6,22,0.88,0.12,0.88
GCF_4b3f6fea99,GCF_6ea524ea00,22,0.88,0.12,0.88
GCF_75730455ff,GCF_f8e30ded4d,22,0.88,0.12,0.88
GCF_b5135d57ee,GCF_f3c4a27b11,44,0.88,0.12,0.88
GCF_b53a9f254f,GCF_c6a52d4832,22,0.88,0.12,0.88
GCF_c6a52d4832,GCF_f8d92fe42e,22,0.88,0.12,0.88
GCF_96ff50a78e,GCF_a8f1cfdd05,29,0.87878788,0.12121212000000003,0.87878788
GCF_0dce6ff794,GCF_5492626696,21,0.875,0.125,0.875
GCF_11b2ec9edc,GCF_d2df04906b,21,0.875,0.125,0.875
GCF_1d1bb8257a,GCF_73013581d7,70,0.875,0.125,0.875
GCF_1d1bb8257a,GCF_d230814bc9,63,0.875,0.125,0.875
GCF_1f4e5ab9fe,GCF_86dc0b2ab4,35,0.875,0.125,0.875
GCF_2128a6b8f7,GCF_b53a9f254f,21,0.875,0.125,0.875
GCF_29e8b9be73,GCF_32ae0f3378,21,0.875,0.125,0.875
GCF_32954123c4,GCF_4c8efa9b1a,21,0.875,0.125,0.875
GCF_43a48f53a5,GCF_d3fb47cbb4,21,0.875,0.125,0.875
GCF_45621840d1,GCF_570c0f956e,35,0.875,0.125,0.875
GCF_4fb889858b,GCF_c114e201b0,35,0.875,0.125,0.875
GCF_7a431fb4b0,GCF_f2efac7ecd,28,0.875,0.125,0.875
GCF_c72140d726,GCF_d0fa216d53,28,0.875,0.125,0.875
GCF_0feaf063d2,GCF_6a2c02fa95,83,0.87368421,0.12631579000000004,0.87368421
GCF_0feaf063d2,GCF_f0a29a2412,89,0.87254902,0.12745098,0.87254902
GCF_1f465a2bf4,GCF_5e0586fd64,41,0.87234043,0.12765957000000006,0.87234043
GCF_be3380e173,GCF_fdc2911489,41,0.87234043,0.12765957000000006,0.87234043
GCF_26f7d08ef3,GCF_93175e4f70,34,0.87179487,0.12820513,0.87179487
GCF_570c0f956e,GCF_59519ea481,34,0.87179487,0.12820513,0.87179487
GCF_591a43db19,GCF_f4f9803f3b,34,0.87179487,0.12820513,0.87179487
GCF_96f5ca267b,GCF_f73409c363,54,0.87096774,0.12903226,0.87096774
GCF_0772bee399,GCF_0f2fd057bb,20,0.86956522,0.13043477999999997,0.86956522
GCF_0dce6ff794,GCF_17bfe67522,20,0.86956522,0.13043477999999997,0.86956522
GCF_0dce6ff794,GCF_90218c0219,20,0.86956522,0.13043477999999997,0.86956522
GCF_1547c5c1cd,GCF_99d482d1fe,20,0.86956522,0.13043477999999997,0.86956522
GCF_1d570ec840,GCF_6985271096,20,0.86956522,0.13043477999999997,0.86956522
GCF_29e8b9be73,GCF_90218c0219,20,0.86956522,0.13043477999999997,0.86956522
GCF_564038463a,GCF_8089d0751b,20,0.86956522,0.13043477999999997,0.86956522
GCF_564038463a,GCF_974f8f6175,20,0.86956522,0.13043477999999997,0.86956522
GCF_6bb124d324,GCF_aed6f86c97,20,0.86956522,0.13043477999999997,0.86956522
GCF_0b9a7c7d26,GCF_c52f8c47ac,219,0.86904762,0.13095237999999998,0.86904762
GCF_1d1bb8257a,GCF_5abddb4b3f,66,0.86842105,0.13157894999999997,0.86842105
GCF_380c878610,GCF_c62aeb0156,33,0.86842105,0.13157894999999997,0.86842105
GCF_2067e81dd3,GCF_5337d7ab24,46,0.86792453,0.13207546999999997,0.86792453
GCF_c705738ca9,GCF_e4ba4607a1,46,0.86792453,0.13207546999999997,0.86792453
GCF_0feaf063d2,GCF_266a7e5f9b,91,0.86666667,0.13333333000000003,0.86666667
GCF_115f42156c,GCF_b5db9adc2b,65,0.86666667,0.13333333000000003,0.86666667
GCF_15116e5966,GCF_2c4a74bd3a,26,0.86666667,0.13333333000000003,0.86666667
GCF_2c4a74bd3a,GCF_97c0da0ce7,26,0.86666667,0.13333333000000003,0.86666667
GCF_ca7aaab7ce,GCF_cf6e6acce6,39,0.86666667,0.13333333000000003,0.86666667
GCF_73013581d7,GCF_ff1459e725,71,0.86585366,0.13414634000000003,0.86585366
GCF_50565c76dc,GCF_82ce0cfb63,58,0.86567164,0.13432836000000004,0.86567164
GCF_4ad4f7f449,GCF_924958cd26,45,0.86538462,0.13461537999999995,0.86538462
GCF_4cbf727851,GCF_eae3c65513,32,0.86486486,0.13513514000000004,0.86486486
GCF_5f605bcd44,GCF_eef8e7f647,32,0.86486486,0.13513514000000004,0.86486486
GCF_87f71cd7de,GCF_a59c365131,32,0.86486486,0.13513514000000004,0.86486486
GCF_9cff6a0632,GCF_a59c365131,32,0.86486486,0.13513514000000004,0.86486486
GCF_d230814bc9,GCF_ff1459e725,64,0.86486486,0.13513514000000004,0.86486486
GCF_dff1315438,GCF_eae3c65513,32,0.86486486,0.13513514000000004,0.86486486
GCF_0b9a7c7d26,GCF_e7728a1aa7,204,0.86440678,0.13559321999999996,0.86440678
GCF_0b9a7c7d26,GCF_4f4039d2ce,223,0.86434109,0.13565890999999997,0.86434109
GCF_266a7e5f9b,GCF_f0a29a2412,95,0.86363636,0.13636364,0.86363636
GCF_282fa83d9d,GCF_a151e7bc1f,44,0.8627451,0.13725489999999996,0.8627451
GCF_39ed86d51c,GCF_f0a29a2412,88,0.8627451,0.13725489999999996,0.8627451
GCF_864906b4f8,GCF_c7f3659a42,44,0.8627451,0.13725489999999996,0.8627451
GCF_0df2f492b5,GCF_3f0f4de292,25,0.86206897,0.13793102999999995,0.86206897
GCF_3f0f4de292,GCF_cea89f0dcf,25,0.86206897,0.13793102999999995,0.86206897
GCF_b44a062edd,GCF_fb93d890ee,25,0.86206897,0.13793102999999995,0.86206897
GCF_115f42156c,GCF_d230814bc9,62,0.86111111,0.13888889000000004,0.86111111
GCF_59519ea481,GCF_9bf8da0bae,31,0.86111111,0.13888889000000004,0.86111111
GCF_c62aeb0156,GCF_e38e37b069,31,0.86111111,0.13888889000000004,0.86111111
GCF_1f31262231,GCF_ca56d84b62,37,0.86046512,0.13953488000000003,0.86046512
GCF_4950908ef7,GCF_864906b4f8,49,0.85964912,0.14035087999999996,0.85964912
GCF_7ab9282cff,GCF_d5833bf99d,49,0.85964912,0.14035087999999996,0.85964912
GCF_5abddb4b3f,GCF_ff1459e725,67,0.85897436,0.14102563999999995,0.85897436
GCF_e6feb9da77,GCF_ec1cbe639a,152,0.85875706,0.14124294000000004,0.85875706
GCF_e86efcfe74,GCF_fc8835cde6,79,0.85869565,0.14130434999999997,0.85869565
GCF_9e29936307,GCF_b587b4e13a,85,0.85858586,0.14141413999999997,0.85858586
GCF_1b1afb95f4,GCF_7d7cb136c4,30,0.85714286,0.14285714000000005,0.85714286
GCF_25f6515088,GCF_ff1459e725,72,0.85714286,0.14285714000000005,0.85714286
GCF_266a7e5f9b,GCF_39ed86d51c,90,0.85714286,0.14285714000000005,0.85714286
GCF_b6fbc8e6c8,GCF_bb5d368b14,30,0.85714286,0.14285714000000005,0.85714286
GCF_c6a52d4832,GCF_d96d631f3b,24,0.85714286,0.14285714000000005,0.85714286
GCF_d7eee6221c,GCF_eef8e7f647,30,0.85714286,0.14285714000000005,0.85714286
GCF_1d1bb8257a,GCF_b5db9adc2b,65,0.85526316,0.14473683999999998,0.85526316
GCF_0feaf063d2,GCF_4d9730791e,88,0.85436893,0.14563106999999997,0.85436893
GCF_139fe5f617,GCF_dfa15d3343,41,0.85416667,0.14583332999999998,0.85416667
GCF_6886789c18,GCF_963492fa64,41,0.85416667,0.14583332999999998,0.85416667
GCF_924958cd26,GCF_cd74365fb1,41,0.85416667,0.14583332999999998,0.85416667
GCF_a4e71c1718,GCF_cd74365fb1,41,0.85416667,0.14583332999999998,0.85416667
GCF_115f42156c,GCF_25f6515088,70,0.85365854,0.14634146000000003,0.85365854
GCF_212940a946,GCF_c48041c0f8,35,0.85365854,0.14634146000000003,0.85365854
GCF_25f6515088,GCF_b5db9adc2b,70,0.85365854,0.14634146000000003,0.85365854
